 28.30 31.38 40.47 28.67 35.68 32.21 52.75 27.59 49.29 49.69 40.71 41.98 26.58 52.11 46.28 33.34 40.03 43.44 55.76 50.29 45.49 54.14 44.77 41.07 49.12 39.51 47.36 44.83 59.75 48.33
 29.75 33.56 42.30 30.63 37.30 34.09 54.76 29.76 51.32 51.50 42.60 44.18 28.53 54.28 47.86 35.69 42.20 45.62 57.53 52.16 47.69 56.24 46.79 42.76 50.60 41.31 48.12 46.43 61.39 50.44
 33.26 37.75 46.01 34.54 40.70 37.85 58.59 34.02 55.32 55.17 46.34 48.56 32.49 58.49 51.26 40.12 46.38 49.91 61.27 55.91 51.89 60.29 50.90 46.32 53.93 45.06 50.80 50.14 64.90 54.38
 37.73 42.69 50.81 39.54 45.14 42.66 63.34 39.38 60.25 59.84 50.92 53.85 37.42 63.47 55.43 45.53 51.34 55.03 65.47 60.55 56.91 65.05 55.78 50.57 58.22 49.57 54.32 54.59 69.09 59.06
 40.32 45.74 53.44 42.64 47.26 45.63 66.00 42.87 63.13 62.33 53.29 56.94 40.39 66.27 57.31 48.85 54.10 58.11 67.44 62.80 59.79 67.75 58.60 52.53 60.19 51.87 55.57 56.89 70.79 61.64
 42.46 48.14 55.41 45.14 48.81 47.86 67.45 45.89 64.94 63.84 54.85 59.35 42.92 67.79 58.20 51.73 56.19 60.42 68.21 64.06 61.69 69.18 60.36 53.87 61.38 53.61 55.97 58.21 71.20 63.20
 44.11 49.87 56.97 47.20 49.75 49.77 68.58 48.48 66.35 65.00 55.95 61.23 44.84 68.89 58.56 53.90 57.75 61.97 68.63 64.83 63.04 70.28 61.81 54.45 62.13 54.72 55.93 59.30 71.29 64.30
 47.26 53.14 59.84 50.65 52.15 52.84 71.07 52.54 69.23 67.50 58.49 64.56 48.16 71.40 60.41 57.53 60.84 65.28 70.36 66.91 65.87 72.63 64.47 56.62 64.46 57.39 57.31 61.60 72.55 66.73
 49.84 55.77 62.37 53.60 53.86 55.58 73.19 56.06 71.68 69.57 60.22 67.28 51.00 73.34 61.43 60.54 63.22 67.93 71.64 68.45 68.05 74.62 66.67 58.01 66.05 59.38 58.15 63.61 73.22 68.59
 52.67 58.27 64.34 56.50 55.39 58.06 74.17 59.32 73.22 70.82 61.73 69.39 53.65 74.17 61.98 63.13 65.19 69.82 71.91 69.00 69.48 75.34 68.13 59.25 67.34 61.12 58.79 64.88 72.86 69.58
 54.10 59.85 65.73 58.16 55.76 59.50 75.30 61.38 74.67 71.82 62.35 70.88 55.03 75.04 61.70 64.92 66.35 71.24 72.24 69.31 70.42 76.31 68.94 59.46 67.93 61.93 58.41 65.71 72.38 70.45
 53.74 59.23 64.74 57.87 54.14 58.73 73.54 61.23 73.42 70.01 60.70 69.78 54.60 73.09 59.24 64.24 65.31 70.01 69.60 66.88 68.70 74.22 67.27 57.48 66.24 60.61 56.01 63.92 68.93 68.39
 55.01 60.70 65.71 59.28 54.29 59.79 73.69 62.69 74.11 70.41 60.96 70.57 55.71 73.10 58.63 65.43 66.09 70.79 69.23 66.63 68.90 74.23 67.33 57.53 66.44 61.27 55.56 64.29 67.61 68.61
